DATE,ENERGY_INDEX
01/1939,3.3842
02/1939,3.41
03/1939,3.4875
04/1939,3.5133
05/1939,3.5133
06/1939,3.565
07/1939,3.565
08/1939,3.6167
09/1939,3.72
10/1939,3.72
11/1939,3.7458
12/1939,3.7458
01/1940,3.7717
02/1940,3.8233
03/1940,3.8492
04/1940,3.8492
05/1940,3.875
06/1940,3.9267
07/1940,3.9267
08/1940,3.9783
09/1940,4.03
10/1940,4.0558
11/1940,4.1592
12/1940,4.1592
01/1941,4.185
02/1941,4.2367
03/1941,4.2883
04/1941,4.34
05/1941,4.3658
06/1941,4.4433
07/1941,4.495
08/1941,4.5467
09/1941,4.5725
10/1941,4.5983
11/1941,4.65
12/1941,4.7533
01/1942,4.805
02/1942,4.8567
03/1942,4.8825
04/1942,4.8825
05/1942,4.8825
06/1942,4.9084
07/1942,5.0634
08/1942,5.0892
09/1942,5.115
10/1942,5.115
11/1942,5.1925
12/1942,5.27
01/1943,5.2184
02/1943,5.2959
03/1943,5.3217
04/1943,5.3992
05/1943,5.425
06/1943,5.5284
07/1943,5.58
08/1943,5.6059
09/1943,5.7092
10/1943,5.7092
11/1943,5.7867
12/1943,5.7867
01/1944,5.735
02/1944,5.8125
03/1944,5.9159
04/1944,5.9417
05/1944,5.9417
06/1944,5.9417
07/1944,5.89
08/1944,5.9159
09/1944,5.89
10/1944,5.8384
11/1944,5.89
12/1944,5.9159
01/1945,6.0192
02/1945,6.0192
03/1945,5.9934
04/1945,5.9934
05/1945,6.045
06/1945,6.1225
07/1945,6.0967
08/1945,5.9934
09/1945,5.89
10/1945,5.8384
11/1945,5.89
12/1945,5.9417
01/1946,5.9417
02/1946,5.9417
03/1946,5.9417
04/1946,6.045
05/1946,6.0967
06/1946,6.1225
07/1946,6.2517
08/1946,6.355
09/1946,6.4325
10/1946,6.51
11/1946,6.5359
12/1946,6.5617
01/1947,6.7425
02/1947,6.6134
03/1947,6.5617
04/1947,6.5617
05/1947,6.5359
06/1947,6.5359
07/1947,6.5359
08/1947,6.7167
09/1947,6.8459
10/1947,6.8717
11/1947,6.9492
12/1947,7.285
01/1948,7.6467
02/1948,7.4659
03/1948,7.4917
04/1948,7.3367
05/1948,7.1817
06/1948,7.2334
07/1948,7.285
08/1948,7.4659
09/1948,7.595
10/1948,7.6725
11/1948,7.7759
12/1948,8.0859
01/1949,8.2667
02/1949,8.0859
03/1949,7.9825
04/1949,7.8017
05/1949,7.6467
06/1949,7.6984
07/1949,7.8017
08/1949,7.9825
09/1949,8.06
10/1949,8.0084
11/1949,8.215
12/1949,8.68
01/1950,9.0934
02/1950,8.8867
03/1950,8.9384
04/1950,8.835
05/1950,8.8092
06/1950,8.8867
07/1950,8.9125
08/1950,9.1192
09/1950,9.2484
10/1950,9.4034
11/1950,9.5325
12/1950,9.8684
01/1951,10.4367
02/1951,10.2817
03/1951,10.2817
04/1951,10.2559
05/1951,10.0492
06/1951,10.1784
07/1951,10.23
08/1951,10.4625
09/1951,10.5659
10/1951,10.4884
11/1951,10.695
12/1951,11.005
01/1952,11.5475
02/1952,11.2892
03/1952,11.2117
04/1952,10.9275
05/1952,10.7209
06/1952,10.7984
07/1952,10.9792
08/1952,11.3409
09/1952,11.5475
10/1952,11.5217
11/1952,11.625
12/1952,12.0384
01/1953,12.4517
02/1953,12.0642
03/1953,12.1417
04/1953,12.0642
05/1953,11.9092
06/1953,12.0642
07/1953,12.245
08/1953,12.4259
09/1953,12.4259
10/1953,12.3225
11/1953,12.245
12/1953,12.6584
01/1954,13.3559
02/1954,12.9942
03/1954,12.9425
04/1954,12.7875
05/1954,12.5292
06/1954,12.7359
07/1954,13.0717
08/1954,13.4076
09/1954,13.4592
10/1954,13.3559
11/1954,13.4076
12/1954,14.0792
01/1955,14.4925
02/1955,14.4409
03/1955,14.4409
04/1955,14.2859
05/1955,14.0017
06/1955,14.1309
07/1955,14.4925
08/1955,15.2159
09/1955,15.3192
10/1955,15.035
11/1955,15.1125
12/1955,15.8876
01/1956,16.4559
02/1956,16.2492
03/1956,16.0942
04/1956,15.8876
05/1956,15.7326
06/1956,15.8359
07/1956,16.0684
08/1956,16.4559
09/1956,16.3526
10/1956,16.0684
11/1956,16.0684
12/1956,16.7917
01/1957,17.5409
02/1957,17.3084
03/1957,17.0759
04/1957,16.7917
05/1957,16.5076
06/1957,16.7142
07/1957,17.3859
08/1957,17.9284
09/1957,17.6701
10/1957,17.1792
11/1957,17.2309
12/1957,17.8767
01/1958,18.4967
02/1958,18.1867
03/1958,17.9542
04/1958,17.3342
05/1958,16.9984
06/1958,17.4376
07/1958,17.9284
08/1958,18.6517
09/1958,18.7034
10/1958,18.1351
11/1958,18.0576
12/1958,19.0134
01/1959,20.0209
02/1959,19.6851
03/1959,19.5817
04/1959,19.1167
05/1959,18.9876
06/1959,19.5817
07/1959,20.0984
08/1959,20.5117
09/1959,20.7184
10/1959,19.7884
11/1959,19.7367
12/1959,20.8734
01/1960,21.7518
02/1960,21.4417
03/1960,21.5451
04/1960,20.8217
05/1960,20.2017
06/1960,20.7184
07/1960,21.2351
08/1960,22.0617
09/1960,22.0876
10/1960,21.0542
11/1960,20.8217
12/1960,21.5967
01/1961,22.6301
02/1961,22.1651
03/1961,21.8551
04/1961,21.4934
05/1961,21.4934
06/1961,21.9584
07/1961,22.4751
08/1961,23.5343
09/1961,23.6634
10/1961,22.7334
11/1961,22.3976
12/1961,23.3276
01/1962,24.7226
02/1962,24.0768
03/1962,23.9218
04/1962,23.0434
05/1962,22.9401
06/1962,23.7151
07/1962,24.4384
08/1962,25.1101
09/1962,25.1101
10/1962,24.0768
11/1962,23.9218
12/1962,24.8259
01/1963,26.2726
02/1963,25.9626
03/1963,25.4718
04/1963,24.5159
05/1963,24.5159
06/1963,25.3168
07/1963,26.4534
08/1963,27.3059
09/1963,26.9184
10/1963,25.5493
11/1963,25.2393
12/1963,26.4793
01/1964,28.2101
02/1964,27.3576
03/1964,27.2801
04/1964,26.8409
05/1964,26.6343
06/1964,27.5126
07/1964,29.2693
08/1964,30.0701
09/1964,29.4243
10/1964,27.9001
11/1964,27.2801
12/1964,28.8043
01/1965,29.9409
02/1965,29.2693
03/1965,29.321
04/1965,28.6493
05/1965,28.1584
06/1965,29.1659
07/1965,30.4834
08/1965,31.5168
09/1965,31.3618
10/1965,29.8376
11/1965,29.0368
12/1965,30.5093
01/1966,31.7493
02/1966,31.6976
03/1966,31.2585
04/1966,30.2768
05/1966,30.0443
06/1966,31.2068
07/1966,33.8676
08/1966,34.8751
09/1966,33.8418
10/1966,31.7235
11/1966,31.3101
12/1966,32.731
01/1967,34.5227
02/1967,33.9469
03/1967,32.8941
04/1967,32.6367
05/1967,31.5629
06/1967,32.9433
07/1967,34.0303
08/1967,34.4184
09/1967,33.3846
10/1967,33.3188
11/1967,33.8395
12/1967,35.8727
01/1968,37.2112
02/1968,36.2878
03/1968,35.9943
04/1968,34.3456
05/1968,33.9643
06/1968,36.1243
07/1968,36.7772
08/1968,38.101
09/1968,37.2582
10/1968,35.4821
11/1968,36.1209
12/1968,38.7412
01/1969,40.1646
02/1969,39.742
03/1969,39.009
04/1969,37.1541
05/1969,36.3473
06/1969,38.9665
07/1969,40.8649
08/1969,42.2285
09/1969,40.3886
10/1969,38.7361
11/1969,39.7794
12/1969,41.202
01/1970,43.0869
02/1970,42.5578
03/1970,41.6215
04/1970,40.1982
05/1970,39.9321
06/1970,41.1847
07/1970,43.223
08/1970,44.8139
09/1970,43.6007
10/1970,40.5467
11/1970,40.9385
12/1970,42.1117
01/1971,44.9517
02/1971,44.3696
03/1971,42.7548
04/1971,41.4234
05/1971,40.8295
06/1971,43.5488
07/1971,45.1876
08/1971,46.1091
09/1971,45.505
10/1971,43.9496
11/1971,44.003
12/1971,45.6054
01/1972,48.8393
02/1972,50.0191
03/1972,47.8421
04/1972,44.5127
05/1972,42.1062
06/1972,43.8217
07/1972,45.3964
08/1972,47.9892
09/1972,46.8293
10/1972,44.6882
11/1972,47.1979
12/1972,52.176
01/1973,55.9342
02/1973,53.9974
03/1973,50.5102
04/1973,46.8192
05/1973,44.9289
06/1973,47.4589
07/1973,49.3168
08/1973,51.091
09/1973,50.0826
10/1973,47.0794
11/1973,47.8829
12/1973,49.7968
01/1974,53.8212
02/1974,51.6563
03/1974,49.7985
04/1974,46.8319
05/1974,45.4161
06/1974,47.1087
07/1974,50.7056
08/1974,51.7371
09/1974,48.6742
10/1974,47.1172
11/1974,47.7516
12/1974,52.9379
01/1975,55.6989
02/1975,54.4115
03/1975,52.1395
04/1975,49.3369
05/1975,46.1066
06/1975,47.3769
07/1975,50.5251
08/1975,52.2585
09/1975,49.432
10/1975,46.7476
11/1975,47.7981
12/1975,54.4112
01/1976,60.6121
02/1976,56.9337
03/1976,52.9187
04/1976,48.7185
05/1976,46.6811
06/1976,49.2486
07/1976,52.022
08/1976,53.3791
09/1976,51.1013
10/1976,49.1373
11/1976,53.2579
12/1976,60.8207
01/1977,66.1065
02/1977,61.3553
03/1977,54.9875
04/1977,50.5114
05/1977,49.3162
06/1977,52.3147
07/1977,55.7601
08/1977,55.929
09/1977,53.2255
10/1977,50.7423
11/1977,51.8983
12/1977,59.5842
01/1978,65.4681
02/1978,64.4632
03/1978,58.7322
04/1978,51.4137
05/1978,49.9912
06/1978,53.1982
07/1978,55.5156
08/1978,57.5132
09/1978,55.0594
10/1978,52.1993
11/1978,54.0541
12/1978,60.7576
01/1979,68.7075
02/1979,68.1212
03/1979,61.374
04/1979,55.2722
05/1979,51.4048
06/1979,53.2473
07/1979,55.4418
08/1979,57.6476
09/1979,54.2322
10/1979,52.7558
11/1979,54.6456
12/1979,60.0874
01/1980,65.381
02/1980,64.7721
03/1980,60.8807
04/1980,53.1114
05/1980,49.7992
06/1980,52.4268
07/1980,58.5254
08/1980,60.4105
09/1980,57.738
10/1980,54.7637
11/1980,56.4616
12/1980,63.4413
01/1981,69.2715
02/1981,63.6341
03/1981,60.1027
04/1981,54.1446
05/1981,52.2484
06/1981,56.4915
07/1981,60.622
08/1981,60.6506
09/1981,56.3729
10/1981,54.6841
11/1981,55.7249
12/1981,63.4345
01/1982,70.6727
02/1982,64.2728
03/1982,59.7759
04/1982,54.109
05/1982,49.8577
06/1982,52.7065
07/1982,56.6437
08/1982,57.1923
09/1982,54
10/1982,51.7022
11/1982,54.0655
12/1982,58.7664
01/1983,65.9628
02/1983,59.162
03/1983,57.314
04/1983,52.9718
05/1983,49.1707
06/1983,51.7103
07/1983,57.9314
08/1983,61.588
09/1983,57.8078
10/1983,53.7753
11/1983,55.798
12/1983,65.6301
01/1984,73.2688
02/1984,66.2545
03/1984,63.2801
04/1984,57.4501
05/1984,55.1499
06/1984,57.9273
07/1984,60.6775
08/1984,62.3596
09/1984,58.0827
10/1984,54.7212
11/1984,57.1673
12/1984,63.3492
01/1985,72.6803
02/1985,70.8479
03/1985,62.6166
04/1985,57.6106
05/1985,55.4467
06/1985,58.2228
07/1985,62.7591
08/1985,63.3921
09/1985,60.7507
10/1985,56.4553
11/1985,58.1385
12/1985,68.8758
01/1986,73.4956
02/1986,68.1637
03/1986,62.3923
04/1986,57.1915
05/1986,55.9599
06/1986,60.0336
07/1986,65.9077
08/1986,64.645
09/1986,61.1742
10/1986,57.6978
11/1986,59.4964
12/1986,68.3302
01/1987,74.0173
02/1987,70.254
03/1987,65.7966
04/1987,60.3229
05/1987,59.0245
06/1987,64.0345
07/1987,69.0282
08/1987,70.2369
09/1987,64.2987
10/1987,60.5402
11/1987,62.6219
12/1987,70.7671
01/1988,80.0833
02/1988,76.3631
03/1988,70.4954
04/1988,63.4244
05/1988,61.5776
06/1988,67.2741
07/1988,73.1676
08/1988,75.9479
09/1988,67.7223
10/1988,63.4592
11/1988,65.2706
12/1988,74.0492
01/1989,78.1368
02/1989,76.8499
03/1989,73.5377
04/1989,65.2676
05/1989,63.8617
06/1989,68.6587
07/1989,74.2491
08/1989,75.2704
09/1989,69.5107
10/1989,66.062
11/1989,69.2555
12/1989,84.404
01/1990,84.6447
02/1990,77.4221
03/1990,73.4205
